Questions,Answer
"But if I am, then why do I want?",Because I have forgotten that I am. It’s like the keys in your pocket or the spectacles on your head. You have them with you but sometimes you look for them and even get others to join you in that search.
How do I realize or understand that I am peace? How to prove it?,"By experimenting. Everything is a belief; we experiment with it, and if we get the result, we take it as the truth. We hear, ‘Keep searching for peace, for that’s the purpose of life’. If the purpose of life is to keep searching for peace, then when will we find it? But now we understand peace is our nature. Let me experiment—I am a peaceful being. Now I will use this awareness in every act, with every person. In every interaction today, I will only remember that I am the one who is doing it. Think of a doctor. He knows he is a doctor, so if someone meets with an accident while he is around, he will immediately get into the healing job. But if the doctor forgets that he is a doctor, even if people around him are bleeding, he won’t do anything, because he has forgotten he is a doctor. So healing won’t come into action. But the minute he remembers who he is, he will start healing. So it’s about awareness That. I am a peaceful being was forgotten. And because it was forgotten, I was looking for peace outside. Now let’s try a new belief system that we are peace. Try it—it’s still not the truth; it’s only a belief. Just experiment with it. If we get the result, then it is the truth."
How to experiment?,"When I go back to work today and if there is a situation, I just remind myself that I am a peaceful being and then act."
"Is it like a mantra that ‘I am a peaceful being, I am a peaceful being’? If someone says something unpleasant, I may get angry. And later I remember the mantra again, that I am a peaceful being.","It’s not a mantra; it’s a conviction. I am telling myself who I am, and preparing myself. Everything that I do will be out of this consciousness. This is who I am. It’s simple. Let us say there is a space in the mind. I believe it is empty and say I want happiness, I want peace and I want love. I go to everyone expecting them to fill that space. I say, ‘Please do this so that I will be happy. Please talk to me nicely so that I will be peaceful.’ This is one way of living, one belief system. The other belief system is that the space is full of peace, but now I have to go through the whole day taking care not to spill out that peace. That is it. It is full and I have to take care of it. This is the journey, this is what Awakening with Brahma Kumaris is all about. It is about understanding that I am peaceful. I just have to remember that while talking to you I should not spill it out."
"I am peaceful. The moment I am not peaceful, does it spill out?",One way is: I do this so that I will be happy. The other way is: I am happy and now I will do this.
I am happy and I will try to make you happy too.,I don’t know whether I will be able to make other people happy; that is another belief we need to evaluate.
"What I meant is, when you are around a happy person, you also feel happy because the atmosphere is happy.","True, but someone can be around a happy person and still be very sad, unless they take charge of their thoughts and feelings. This again is an incorrect, deep belief that we can make others happy. No one can make someone happy, unless they want to be happy themselves."
Then no one can make us sad too.,"Absolutely, I am not dependent on other people for my emotions and my feelings. But the most widespread, incorrect belief system is—My happiness is dependent on other people."
"When we love someone we say, ‘This person makes me happy’.","When I am with this person, I have nice thoughts. So I tell myself I am happy when I am with this person. And then I tell myself, ‘This person makes me happy’. This is how we also become dependent on objects—whether a car or a piece of jewellery—to create similar kinds of thoughts. We use these as stimulus to create a particular kind of thought. Between the stimulus and the response is my freedom to choose a response. Today if you talk to me nicely, I am happy. Tomorrow if you do something that according to me is not right, I can be hurt. But you are still the same."
I was different yesterday. I was speaking to you nicely. My behaviour is changed.,So my response is dependent on your behaviour. Are you always going to behave the way I want you to?
"No, I am going to be in different moods on different days, at different times.",Are you wrong?
It is normal.,Are you wrong?
I am right,According to?
Myself,"But according to me, you are wrong. So, I have conditioned myself to believe this is right and this is wrong. I want people to be right so that I will be happy."
So are you controlling me?,"Yes, I am controlling you, and that’s what we are doing everyday with people. We are doing that with our children, with everyone around us. We want them to be or do or perform or behave in a particular manner, because that will make us happy. I feel what I think is right and the other person is wrong, so my happiness becomes dependent on them."
"What are relationships for? We depend on friends. If I am in a problem, I need help.","That’s fine. But my pain or happiness being dependent on the other person’s behaviour is not right. Let’s say I expected you to call me up last evening. If you didn’t call me, I am hurt. Why? Since my happiness was dependent on your behaviour."
"I still feel that is natural. If my wife calls and talks to other people except me, I feel hurt.",You have a choice.
This is what I want to learn,"You have a choice. She did not call me, though I thought she should have. I could still be stable by creating different thoughts, that she was busy, or that she did not feel like talking to me at that time."
"I got the answer. My friend reached his home and it was locked. He would have broken the lock in anger, but he had returned from a spiritual retreat. So he went to his daughter’s house and picked the spare key. Just as he went inside, his wife returned. He asked her where she had been. She had been to the market and had tried to contact him, but his phone was switched off. He realised that he had switched it off during the retreat. This meant that she was right and so was he.","Absolutely. Everyone is always right. It’s not important whether they are right or wrong. First of all, I have to be right—not do right but BE right. This means I first take care of myself. This will only happen when I gradually bring myself out of this mental conditioning that my state of mind is dependent on other people. We hold so many people responsible for our pain. So we are telling ourselves it’s their fault, and I am fine the way I am. I have to understand that people are doing what they are doing; they could be cheating on me, but my pain is my creation. Even if you have cheated me as a business partner, the hurt, the resentment and the hatred that I feel are my creation. You cheated me financially and ethically, and that’s where your power ends. That’s where the power of anybody outside ends, whether it’s a business partner, a spouse, or a child. Our thoughts, feelings and responses are OUR choice."
But it troubles me inside. Why can’t I retaliate?,"Let’s say your business partner cheated and you parted ways. Now you decide to do the same business that he is doing, with the thought, ‘I want to enter the market as his competitor. I want to take my revenge. I believe I am right’. You want to start a business with vengeance. Is this the kind of energy to bring into your work? Is this thought process right? How you think and feel is your choice. Whether you create hurt and for how long you will remain hurt is also your choice. Whether you live with your pain for 10 minutes, 10 days, or 10 years is your choice. You can sit back, think of the situation, and relive the pain again and again, even years after it happened. Who is the creator of these emotions? It’s you. In the same situation, different people will create different responses. This has to be experimented with at every step"
"If my wife didn’t call me when I expected her to, she had reasons. But my mind goes on thinking.",Whose mind is it?
My mind.,Who is creating the thoughts?
"The mind, not me.",Whose mind is it?
My mind,So who is creating the thoughts?
I will say my mind is creating the thoughts.,I will say my mind is creating the thoughts.
But my mind says she should be happy to speak to me.,"Yes, because I like people to be dependent on me. I am dependent too. It’s this control that gives me power. I am empty inside and I love this idea of people being dependent on me. I think I am more powerful because people are dependent on me for feeling good. Because I am dependent on other people, I feel other people should also be dependent on me for feeling happy. So I think, ‘How could she be happy without talking to me, when I am not happy without talking to her?’ We are trapped, and we are trapping other people into being dependent on us. All this is happening in the name of love, respect and trust, which are supposed to be unconditional."
Let us have a minute of meditation.,"Relax and reflect on these thoughts. Let me look at the people around me… my friends, my family, and my immediate relationships… Everyone around me at home and at work… doing and being exactly the way they think is right… Their behaviour and their words are the stimulus that’s coming from outside… I, the being, choose my response… My response is not automated… it’s not in their control… it’s my choice… Let me look at myself with them… they are behaving in a manner that I think is not right…. Now let me look at myself… in control… in charge… not of them… not of the situation… but of my state of mind… I am creating the right thought at the right time… I am the master… an independent… powerful being. Om Shanti!"
I am in charge of my emotions. I cannot play blame anymore. But how do I avoid reacting when people say something unpleasant?,"I am not saying that we do not respond. If you are saying something to me, I am not supposed to sit like a stone wall with no thoughts, feelings or emotions. That’s not right. The question is—what thoughts, what feelings, what emotions? It’s not that I either react or don’t respond at all. Reaction means an automated response. Sometimes we regret our reactions, and then say sorry to people."
I regret my words or action so often.,What do we regret?
Unnecessary retaliations.,"We regret our own reactions. You behave in a certain manner and I react, and then I have to come back and apologize."
Because I overreacted in response to how the other person behaved.,"It’s not about the magnitude. It is about not being comfortable with the way I reacted. Normally we measure, like you said ‘overreacted’. This means we are always measuring our reactions with reference to the other person’s behaviour. If you shout at me, I shout louder. We are always doing it with reference to other people. My personality should be mine, my responses should be mine, and my way of talking should be mine, irrespective of the other person. If I keep changing with reference to everyone I meet, there will be nothing left in me that is of my own."
Somebody passes by without greeting me. I think ‘He didn’t wish me; why should I?’,"Let’s say courtesy is your quality. Being nice and friendly comes naturally to you; it’s your personality. You are walking along a corridor, and you are about to wish me ‘good morning’. However, I just ignore and move past you. I am cold at this particular moment, for whatever reason— may be my nature or my present mood. I am not courteous, but because of me, you give up your quality as well. Next, you meet someone else who behaves differently, and then you give up another quality. Then meet someone who shouts at you and you give up your politeness. Gradually we absorb people’s negativity and give up our qualities."
How does one stick to one’s quality?,"Remembering this is my personality. And this personality is going to be out there interacting, irrespective of their behaviors. So we can take even one quality, let’s say being courteous, and stick to it."
"My mantra for today: I will be courteous, no matter what.","As simple as that. That’s what I have to tell myself. My nature remains my nature, irrespective of external stimulus."
"We can observe a fast even on days when we have to go to a restaurant or a party. The same way, we can be courteous, irrespective of the situation.","Absolutely. Take only one quality today—being courteous, being humble or politeness is your quality. Don’t let it change."
People’s behaviour changes with different people. Why does it happen?,"We keep changing our personality so many times during the day that we are not even aware of what our true nature is. To our spouse, we may say ‘Bring the glass of water,’ and to someone else we may say ‘May I have a glass of water, please?’ Which of these is my original nature? It’s just that when we are with our spouse, we do not take the responsibility of pleasing them; we take them for granted."
Which one is artificial?,I have to ask myself.
Will my spouse feel nice if I speak courteously to her?,"More important is—you will feel nice if you speak that way to her. Our behaviour is not for other people; it is primarily for us. Will I speak sweetly to you so that you are happy? No, I will speak sweetly because it makes me feel nice."
I have seen people do so many things only to please the outside world.,"It is good. But let’s add one criterion here: taking care of myself first and doing for others what I feel comfortable doing. There are a lot of people who are doing things for others. But when they do not get something in return, they get upset. Should we be doing it because we want something in return?"
What if we get only criticism in return?,"First of all, I need to check how I was feeling while doing it. If I felt nice, that’s sufficient. Now if I get criticism, I just check whether the criticism is valid."
"I got an email from my niece, in which she recounted two incidents when I was rude to her, making her unhappy. My justification was ‘It was because I was tired’. But I truly was rude.","You can apologise now. But that will only happen because you have started checking yourself. We like to justify our inadequacies and hide our weaknesses. If we start justifying rudeness, the list can be long."
I am not doing anything. I blame my mind as it plays games with me.,"My mind is mine. It’s my responsibility. We speak about our mind as if it is separate from us. We are not ready to take responsibility of our mind; we say it is not in our control. It’s like a parent who has given up on their child. Someone comes and says ‘Your child is not behaving properly,’ and you reply ‘Sorry, my child is not in my control; please take care of my child’. Because my mind is not in my control, I try to control your mind. If you say something and I am not able to control my mind, I try to control you. I ask you, ‘Is this the way you should speak?’, because I am not asking my mind, ‘Is this the way I should think?’ So I focus on teaching you how to speak because if you speak nicely, my mind is comfortable. Let’s see how we want to think, feel and be in every relationship."
"How I want to think, feel and be in every relationship!",Let’s not concentrate on them. Our attention is usually about making other people happy.
That is tiring.,"But don’t you think we are doing it every day? I want my family to be happy, colleagues to be happy, friends to be happy. I am doing a lot for them. It’s a genuine effort. I want people to be happy with me, because I believe that when they are happy, I will be happy."
"Either this, or we show no interest in anyone’s happiness. How do I strike a balance?","In India, when a married girl comes to her husband’s home, in many families she is expected to quit her job. I have met a lot of such women who have given up their careers. But they say the husband’s family is still not happy with them. They get frustrated. As a newly married young girl, when she came into the family, it was projected that the family would be happy when she quit her job. To keep them happy she quit her job, but on the inside, she was not happy about the decision."
Maybe they are unhappy for some other reason.,"No other reason. She has done this to make them happy, but she has been unhappy from the day she quit her job. She is staying in the same house for 20 years; she chose not to work, but chose it for their happiness. It’s not a choice that she made for herself. She did what they wanted, but she is not happy doing it. So what’s her message or energy to them for last years? ‘I am unhappy, I am unhappy because of you.’ So, how can that family be happy?"
So they can’t be happy just because she is sending them constant negative energy?,"This is where the secret lies. I cannot make other people happy by doing ‘anything’ for them. If I choose to do something, I have to be happy first while doing it. Otherwise, I shouldn’t do it at all."
But aren’t certain things to be done whether you are or you are not happy?,"You will do the act, but you will not give it the right energy. Suppose I give you a gift because it is my duty to give it. But internally I am upset and disinterested. So you won’t be happy, maybe you won’t even look at the gift, because you are going to get the energy of the giver. So I did this for you, but what was my energy? Relationships are not actions. Relationships are energies that we exchange while doing those actions. So if something is my duty, I should first convince my mind why I am doing it. I tell the mind, ‘I am choosing to do this. I am doing it because these people matter to me.’ Create the right thought and the right energy first before doing something, otherwise it is best to not even do it."
What is the meaning of duty?,"Responsibility. We are living with people, and they have certain expectations of how they want me to be and what they want me to do. I consider it my responsibility and my pure desire to make them happy, so I do what they want me to do. But if I do it unhappily, it will not get me the desired results. Moreover, because I am doing it for them, very soon I will be expecting them to do something for me."
It’s difficult to internalize this.,"That’s because our focus is all on the ‘doing’. Look at the priorities through the day—I have to DO this, I have to DO that. The focus has rarely been—I have to BE like this."
Children say—I have to do so much homework. Isn’t that correct?,"Yes, they have to do it. Care has to be on how they feel while doing it. They need to be calm, peaceful, happy, and then do it. Let’s say I have to run from here to there. I have to be healthy to do it. If I am not healthy and I try to run, the journey will be tiresome, painful and a struggle. Likewise, for everything I do the whole day, for my entire life, I need to be emotionally healthy. Only then what I do will be beautiful."
How can I be emotionally healthy?,That’s an important aspect of life which we have taken for granted. We thought it will happen on its own. Or we even thought other people will take care of it for us—that we are all supposed to make each other happy.
I knew some people who were fed up of their parents and waited to get married. But they were not happy after marriage either. How can one to be emotionally balanced and stable always?,There are people who are not happy in their marriages and looking for relationships outside their marriage.
They break that as well and go for yet another marriage.,Because we thought happiness has to come from the other person. So we kept searching.
"We can conclude that happiness cannot come from outside. We went to spiritual centres, did social work, went shopping, watched movies… as we wanted to be happy.","Whenever I distract my mind, what happens? When I am watching a television show or a movie, whatever was going on in my mind is put off for some time. Suppose you have a toothache and you start watching a movie; very soon you will forget the toothache. But when you switch off the TV, the pain seems to start again. What happened? Does it mean that the tooth was healed and now it’s hurting again? No, the pain was always there but the mind was distracted. My tooth is aching and I am aware of the pain. Who is aware of the pain? The mind is. Then I divert my mind to something else—a conversation, shopping trip, or television programme. I feel the pain is gone but it is not—it’s just that I am not aware of the pain. When the TV is switched off, I can feel the pain again. This is for physical pain, but the same is true for an emotional pain. The whole day was tough, I created a lot of stress and anxiety; then I say ‘let’s go for a movie,’ ‘let’s go on a holiday,’ ‘let’s take a break from here and go away for 15 days.’"
Is it escapism?,It’s just that we are trying to take the mind away from there.
Shall we call it temporary happiness?,"Not happiness, it’s a temporary distraction of the mind from the truth. It’s not happiness because we are coming back to it after sometime. We can call it happiness if it was healed. The tooth was not healed; it was just that we were not aware of the pain."
"So why do we go for holidays, picnics, movies and all that?","For a change, for entertainment, it’s different from the routine."
"Please tell us a little about meditation, to experience happiness 24x7, without being dependent on others for it.","Let’s just be aware of our thoughts, and let’s not try and deviate our mind to something else in the pursuit of happiness. I am only suppressing the conscious mind by getting distracted, thinking it brings happiness. The minute the distraction is removed, the conscious mind is back there, and probably with more pain. I need to take charge. This is not the solution, I am shying away from the problem. But for how long can I run away? How long can I be on a holiday? Finally, I am going to be back. Relax and reflect on these thoughts. Meditate."
"I read that peace and happiness almost go hand in hand. The writer says there is peace in the smile of a child, in the tender touch of one’s mother; it has got nothing to do with God or religion but everything to do with the state of one’s mind.","Absolutely. In both instances, the author is talking about vibrations of the being. The smile of a child emanates vibrations of purity and innocence, and the touch of the mother has vibrations of love and unconditional acceptance. When we experience these gestures, more than the act, it is the vibration in the energy that we experience. That’s why there is peace. And wherever there is peace, there will be happiness."
For a mother and a child it is so natural. For others we need to make an effort.,"That’s what it’s all about. About making it natural. Effort happens when you are trying to do it for the other person, while natural is when you are just being yourself. If I am trying to do things according to what I think will make you happy, then it is an effort. But if I am just being myself, then it’s natural."
"Being myself or being natural is peace, love and happiness, is it?",Yes. I need to be aware that these are my natural qualities. These are not qualities I acquire by doing something. It’s my natural personality; they are my natural sanskars. It’s my original state of being; I just have to remember it and let them flow—not look for them outside.
"People say, ‘I am a Leo, ’ ‘I am a Taurus, ’ ‘I am a so-and-so.’ That is why I am a short-tempered. We attributed behaviors to sun signs and that is wrong.","There’s a very beautiful word in Hindi—sanskars. It means personality traits. Every being carries five types of sanskars. It’s important to understand the being, because it is a package made of these five types of sanskars. The first set of sanskars we get from the family. We are in the vicinity of family members, so their energy automatically influences us. The second set of sanskars comes from my environment, country, religion, city, school and friends. We have always heard—you will be coloured by the company you keep. The environment and people around you, the energy around you, the belief systems around you, create sanskars. The third type of sanskars are from our past. When I understand that I am an eternal spiritual being—I just change costumes and my soul journey is through different costumes. There are certain sanskars I have created in my past costumes. Today I am in this costume, coming into action, they are all creating an impression, which is a sanskar. When it is time to leave this body, sanskars don’t get erased, they are carried forward into the next birth. It’s like a recording of songs on the CD that was created. When you insert that CD into another player, those songs are still there."
Let’s forget about past life since we don’t know how many of us believe in it.,"It’s not about belief. It’s because we don’t understand it that we have conflicting views. The biggest conflict today in a family is that parents expect their children to be the same. They ask—‘I have given the same upbringing to both my children, why are they so different?’ Parents are same, family is same, environment is same, so they expect sanskars of their children to be the same. Yet, two children can be twins, born under the same zodiac sign too—same date and same place. They may go to the same school, grow in the same environment, but their personalities will be different. Because few years ago when they were in two different costumes, they were not in the same family, not in the same country, and not in the same environment. They have had a different past, and they are carrying their pasts. We cannot ignore past life’s sanskars because they are dominant factors in determining the present. We fail to understand people because we are only seeing them in their present costume. We are unable to see that they are carrying a past."
It’s a wise way for parents to understand children.,"Parents compare and tell a child, ‘Look at your brother, you should be like him.’ We don’t understand that they are two different personalities like two CDs having two different recordings. They have now come to our house and we are trying to make one similar to the other."
I have heard mothers doubting if their child actually belongs to them.,"That mother fails to understand where her child has got sanskars from, as she hasn’t given them to the child. It’s tough for the child too, because even he doesn’t know why he has these sanskars. For example, a child could have a sanskar of stealing. He comes from a wealthy family and has all comforts at home. But he steals another child’s pencil at school. It comes instinctively to him, he doesn’t intend or plan to steal it. This is because the being, the spiritual energy, the soul has carried such a sanskar. When we are unaware, our sanskars come into play automatically."
It’s difficult to reach this level of awareness. Often there is such a small gap between a stimulus and my response.,"It comes with attention and practice. Years back, if somebody’s mobile phone rang while I was conducting a programme, I would get disturbed."
"Earlier you were disturbed, later you remained stable. Does it happen in stages?","Some people say it’s going to take years. No, it doesn’t take years. It’s just one thought of awareness—otherwise I can get irritated by a ringing mobile phone for a lifetime. We can live our lives getting irritated by mobiles ringing around us."
What does ‘one thought of awareness’ mean?,"One thought is—‘How can I allow a trivial thing like a ringtone to disturb my mind?’ This is just one thought. I don’t think about that person whose phone is ringing. It is not the ringtone that disturbs us, but it is the thought we create after listening to the ringtone—”Why did they not switch off their mobiles? Don’t they know that they are in a public programme?” So it’s not the ringtone that irritates me. It’s the thoughts that I create in response to the ringtone that irritate me. The ringtone is just a trigger. I have to realize what is disturbing me. It is my own thoughts. My thought is that they should have switched off the phone. Now I change my thought—‘Whether they want to switch it off or not is their choice, and I respect their choice.’"
"I would get disturbed even if somebody walked in front of me while I was shooting my scene. Now I see so many people moving around, and am learning to accept it.","Now this is where we are creating the fourth type of sanskar. Getting irritated was one of the past sanskars, maybe from past birth, or from the current environment. With awareness, we can change our sanskar. We are creating sanskars with our own will power. Again, we cannot keep blame and say ‘I can’t help it, this must be a past sanskar.’ It’s all about awareness and then change."
Does awareness bring will power?,"Yes. I use will power to create a new sanskar. Every time I say ‘This is because of you’ or ‘I am getting irritated because of this’, I imply that I am not powerful and others can overpower me. Will power means I have the power to choose, to think, to be and to do what I want. Every time I use that power, it’s will power. Many times we feel we don’t have will power. Everyone has the same amount of will power. It just depends on how much we are using it. We disempower ourselves by not using our will power."
"Someone I know took just 2 days to quit his drinking habit of 30 years. If I have the same amount of will power as him, why am I unable to see that I too have will power?",It’s simple: I am not using it. Any human quality is handy only if it is being used.
What if I don’t know how to see or use a particular quality?,"That’s why we are learning. It’s that area of life we are now focusing attention on. By saying we don’t have time for spirituality, or we don’t have time to meditate, we choose not to use the powers that we have. It’s like I have a whole lot of property in my locker but I refuse to open it and use it. Instead I go around begging people for love, peace and happiness because I am not using that time to go to my own locker and fetch them from there."
So your locker is meditation is it?,"It’s here in the mind. The key is with us, and only we know how to open it."
"Is there no need to go to anyone to get my locker opened, or to develop my powers?","Somebody can guide us how to open it, but no one else can open it for us. No one can activate our will power for us. They can only help us realize that we have it. A simple example is when we want to give up an addiction. Someone may want to give up alcohol or cut down TV time or social media. We create a powerful positive thought: ‘Today I will watch TV only for an hour.’ We are aware of this positive thought we create, but we are not aware of so many negative thoughts that follow—‘It is difficult for me… I love watching TV… I have tried many times but always failed… It’s my habit… Can’t go in one day… Obviously it will take time.’ Now, we created one positive thought to empower ourselves, and then followed it with several negative thoughts, which will disempower us. Once we decide to do something, we just need to create one single thought and start working on it."
"If we have equal will power, how can few people give up addictions sooner than others?","Everyone has equal will power, because everyone is a powerful being. Realizing my own will power depends on my awareness that I am powerful, and how much I use it. Of course, people around me also make a difference. We are largely responsible for reducing the will power of people around us, especially of children. If your child spends hours on social media, you may ask him to cut it down to an hour. Your words are affirmative, but your thoughts are of doubt and failure, about his giving up the social-media addiction."
Internally I am so sure that my child will not be able to do it.,Every thought that I create about my child is energy that I am showing or radiating to him.
But why should the child get disturbed by the energy of his parent?,"We get influenced by the thoughts, words and actions of other people. We have to be very strong and protected to not get affected. That can happen if we practice not getting influenced by the energies around us. Right now, we are quite vulnerable. Everything happening around us creates an impact. If a child is trying to achieve something, we should not create a single thought of doubt or fear. Otherwise we disempower the child. Let us create only powerful thoughts—‘You can do it; we have faith in you.’ Even if the child does not have the power, he will get empowered. Today corporate sector is trying to motivate the workforce. Motivation cannot happen with words. If your subordinate comes in late every day, you motivate him by saying ‘I am sure you will be punctual henceforth.’ But your thinking is ‘I know him. He will not come on time. He will never change.’ Our thoughts and words are different. When we say we are family and we are friends and we are there for each other, let it not be just in words. There should be harmony between thoughts and words. That’s the simplest thing to take care in relationships. When there is a difference, there is also a conflict in our energy, which the opposite person receives. Remember, thought energy travels faster."
"We say, ‘Wow, nice shirt’ , though we think ‘He doesn’t have good taste’.",Why do we say he is wearing a nice shirt?
A lot of people talk like that. We pick it up from everyone around us.,But why do I say to you that your shirt is very nice?
To please people.,"To please people. This is extremely important. We are saying things just to make people happy. But happiness is not words; happiness is energy, vibrations, feelings. I am sending a word out by paying a compliment to your shirt, and I am also sending thoughts that it is a horrible shirt, horrible choice, no taste at all. So what’s the total energy that comes to you? Vibration reaches faster and is much more powerful than our words."
Will he know that I did not like his shirt?,"He won’t be able to catch your thoughts. We can’t catch people’s thoughts. The mind needs to be extremely silent to be able to catch people’s thoughts, but we can catch feelings and vibrations. That is why after meeting certain people, despite having a polite conversation we say, ‘I don’t think they meant what they said. I didn’t feel nice meeting them.’ The foundation of this relationship is false, so it’s no relationship at all. If I send this conflicting energy to you, you will doubt my intentions and then you will always doubt my intention. There is no trust. One misunderstanding is enough to crash that relationship because there hardly was a foundation. We need to ask ourselves what we are doing. One option is this: I don’t say that you are wearing a nice shirt, if I am not convinced that it is nice. If I don’t feel it’s nice, I shouldn’t say it’s nice. This is integrity. If at all I still want to say it’s nice, first let ‘me’ understand that it’s nice, by creating a thought—‘I might not like a white shirt, but that’s just my choice. His choice is nice for him.’ Create this thought and then say it. I need to keep working on myself till my thought and words are in harmony, and then I need to communicate. That is clean communication."
"If I tell him his shirt is nice when I actually do not mean it, what happens to me?","I am cheating myself. I am not honest to myself. I don’t do what I think. There is disharmony between my thoughts, words and actions. I think something else, I say something else, and I do something else. This disharmony flows into in other aspects. I will think I have to do this, but my words and actions will not follow. So my will power reduces. That is why our will power is low today."
We understood the four types of sanskars. Which is the fifth type?,"The fifth sanskars are the original sanskars. When I understand my original sanskars, I can easily take care of the first four. My past birth sanskars are not in my control; sanskars from family are not in my control, sanskars from the environment are not in my control. Will power is in my control. I can create new sanskars through my will power. But even will power gets activated only when I understand my original sanskars, my original nature, and that’s the original nature of every human soul on this planet. Every being is originally pure, affectionate, peaceful, blissful and powerful. Every being has this nature and we are looking for it outside, only because we have forgotten that this is our own nature. Spirituality shifts our belief from, ‘I want happiness and peace’, to the truth that ‘I am a peaceful being. I am a blissful being. I am a powerful being.’ And then my whole perspective will change. If I understand that I am peace, I become a giver. It ends my seeking for happiness, asking for love. I start sharing peace, love and happiness with everyone. It automatically flows from me to people around me. Like when we are stressed, we don’t have to consciously give it to others; anyone coming into our energy field automatically receives it and are influenced by us. Similarly, by being in our natural state of peace and happiness, we don’t have to give it to others, it will naturally radiate and will be felt by family and friends. Energy is like an infection—we catch it from the people around us."
"The mind plays hide-and-seek. The moment I try to see where it is, it vanishes. When I see my thoughts, they stop. When I focus elsewhere, they return. How do I control it?","Let me share a story that I read. A disciple goes to his guru and asks for one word so that he can achieve what his guru has achieved. The guru says ‘awareness’. The disciple writes down the word on a piece of paper and leaves. Halfway back, he wonders ‘But what am I supposed to do?’ So he goes back and asks his guru, ‘What does the word mean?’ Guru says ‘awareness means awareness’. The disciple says okay and leaves again. Yet again he comes back and asks, ‘But what does it mean and what am I supposed to do?’ The guru says, ‘awareness means awareness means awareness.’ It means, do not try to find a logic behind it. Awareness means just be aware of your thoughts, just watch them. We are aware of everything happening in the world—under the ocean, on the moon, on other planets, in the neighbour’s house—we are aware of what is happening everywhere. So, awareness means to know what’s happening."
Within me?,"Nothing within. That again is very complicated. When you say look within, where? Look at what? What are we supposed to do? Look within means just look at the thoughts that I create. Take a walk early in the morning. Don’t just focus on who else is walking, what they are wearing, what they are listening, what they are discussing, or what is in the newspaper. Just talk to yourself—‘What am I thinking?’ You can practise this the whole day."
People will feel I am talking to myself.,You won’t come to know when I am talking to myself. Just stop and check—What am I thinking?
"The moment I check what I am thinking, that thought stops. Some other thought takes over.","This is because I haven’t done it in a very long time. Once I do it regularly, I won’t need to stop and look at what I am thinking. I will always be aware of what I am thinking. Suppose today has not been pleasant at work. I come home and sit with the newspaper. The television is on but my mind is not interested in it. I am thinking—‘This shouldn’t have happened; this is not the way they should have spoken to me. I have been working so hard, but I just don’t get recognised for my work.’ Who is thinking all this? I am thinking. That’s all. This is awareness. This is what I am thinking. The second stage of awareness is—is this the right kind of thinking for me? And third stage of awareness is: Can I change it?"
Do I ever stop thinking?,There is never a stage when we are not thinking.
The mind is always on. Does one have to consciously switch it over to something else?,"It’s like water, flowing constantly. I can’t stop it but I can always channelize it. I don’t have to flow this side, I can flow the other side. So, I just change the direction of the water, give it a new direction to flow. Similarly, I don’t stop thinking. A lot of people think meditation means to stop thinking, and so they will concentrate on a point of light and say ‘no thoughts—no thoughts—no thoughts’. But ‘I don’t have to think’ is also a thought. The mind can never stop thinking. Let’s not try doing what is not natural. That’s why we feel very heavy in the mind. There is too much of pressure because we try to suppress something. It’s not natural."
The pressure to stop thinking leaves us tired and disappointed.,"Exactly. I cannot stop thinking, and then I say I tried meditation but couldn’t do it. This happens with many people. There is so much going on in the mind; it is like a car that is in the fifth gear and I suddenly want to bring it down to neutral. I am trying to do it in one go. What’s going to happen? I get a jerk."
I start being aware. What happens next?,"Practically, the first thing that happens is knowledge."
Now I am aware that I am speaking to you. This is my thought and my question. What next?,First thing is to be aware is that I am creating this thought. A very common illusion is that the thought comes to me because of a stimulus. A lot of people use this language: ‘that thought just came to me.’ What does it mean?
‘He reminded me of that. He made me think. He made me do…’ The language is wrong.,"Yes. The expression is wrong because the belief systems are incorrect. ‘I was just hit by those feelings, by those thoughts.’ As though something comes from outside. Thoughts don’t come to us and feelings don’t come from outside. However tough the situation may be, I am the creator of my thoughts. The minute I understand I am the creator, blame game is over."
"I am aware of my thought. I am the creator of this thought. Then I will analyse whether it is a bad thought, it will hurt me or disturb me. Am I right?",Absolutely. I will be able to change the thought once I take responsibility that I am the creator.
Responsibility is hard work. I may say I am ready to take responsibility but I never really understand it.,"Because the attention is always outside. We were aware of what is happening outside. Then we felt things happening inside. But because we were focused on the outside, we were not aware that what was happening inside was our creation, and that we had a choice."
"You had shared once that a child trips against a table while playing and falls. Parents console that child blaming the table; they tell the child ‘The table is bad’. The child also feels better; he doesn’t understand it was his mistake. So the conditioning for blame begins in childhood, that the table is in the wrong place.","This is true. The child should be made to understand that the table was where it is supposed to be; it is the child who failed to see the table while playing. Suppose my boss was rude to me. I had worked very hard, I was sincere and I finished everything on time. Yet he was unhappy. So my mind starts a commentary, ‘He doesn’t respect sincerity; he doesn’t appreciate efforts.’ I feel these thoughts are just coming to me. But who is responsible for them? I say it’s my boss, and that I am justified in thinking this way. And next I say my boss needs to change. This is the moment we lose self-awareness and self-responsibility."
"If I am aware, then I will know that I am creating this thought towards my boss and that I am also sending negative energy to him.","Not just that, the energy that I am creating and sending to him is also affecting me and those around me. My family with whom I spend the evening can feel that energy too, because I am creating it. It’s like a perfume. Like it or not, I do get the fragrance of the perfume you have used. That’s why if we are under stress, we automatically pass it on to our children."
